GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	137	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP	-0.32679	-1.4289	0	1	0.979	0.241	0.127	0.213	0.77847	0.423
GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	-0.34889	-1.4283	0.0411	1	0.98	0.248	0.124	0.22	0.74117	0.395
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN	158	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_DN	-0.31867	-1.4209	0.007921	1	0.988	0.329	0.221	0.26	0.75512	0.406
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	177	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	-0.33364	-1.4167	0.03766	1	0.99	0.169	0.068	0.16	0.75273	0.405
GSE27786_CD8_TCELL_VS_NKCELL_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_CD8_TCELL_VS_NKCELL_DN	-0.32369	-1.4047	0.03448	1	0.992	0.253	0.157	0.216	0.81347	0.433
GSE27786_BCELL_VS_CD8_TCELL_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_CD8_TCELL_UP	-0.27716	-1.352	0.01473	1	1	0.306	0.265	0.228	1	0.643
GSE27786_BCELL_VS_CD4_TCELL_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_CD4_TCELL_UP	-0.2927	-1.3519	0.02268	1	1	0.267	0.201	0.216	1	0.62
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP	187	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_4MONTH_POST_DX_UP	-0.31651	-1.351	0.09589	1	1	0.267	0.167	0.226	1	0.606
GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.33913	-1.3504	0.1113	1	1	0.33	0.192	0.27	1	0.587
GSE27786_LIN_NEG_VS_NEUTROPHIL_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LIN_NEG_VS_NEUTROPHIL_DN	-0.29529	-1.3497	0.07011	1	1	0.239	0.145	0.207	1	0.576
GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_12H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.33022	-1.3475	0.0743	1	1	0.366	0.224	0.288	1	0.562
GSE17721_CTRL_VS_POLYIC_6H_BMDM_UP	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_6H_BMDM_UP	-0.28585	-1.343	0.05292	1	1	0.275	0.196	0.224	1	0.561
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11924_TH1_VS_TH2_CD4_TCELL_DN	-0.28886	-1.3344	0.05524	1	1	0.302	0.194	0.246	1	0.589
GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_DN	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_DN	-0.30138	-1.332	0.06746	1	1	0.275	0.164	0.233	1	0.588
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP	-0.27584	-1.3287	0.06263	1	1	0.315	0.234	0.244	1	0.585
GSE9037_WT_VS_IRAK4_KO_LPS_4H_STIM_BMDM_UP	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9037_WT_VS_IRAK4_KO_LPS_4H_STIM_BMDM_UP	-0.28853	-1.3263	0.05202	1	1	0.227	0.177	0.189	1	0.585
GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_DN	-0.30941	-1.3249	0.07874	1	1	0.302	0.205	0.244	1	0.578
GSE27786_NKTCELL_VS_MONO_MAC_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_NKTCELL_VS_MONO_MAC_UP	-0.25721	-1.3232	0.0364	1	1	0.261	0.194	0.213	1	0.566
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP	148	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP	-0.28179	-1.3231	0.04563	1	1	0.331	0.224	0.26	1	0.55
GSE360_CTRL_VS_L_DONOVANI_MAC_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_L_DONOVANI_MAC_DN	-0.29985	-1.3217	0.09316	1	1	0.368	0.232	0.287	1	0.543
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	145	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	-0.28015	-1.3213	0.03929	1	1	0.317	0.23	0.247	1	0.535
GSE2706_R848_VS_LPS_2H_STIM_DC_DN	112	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2706_R848_VS_LPS_2H_STIM_DC_DN	-0.3531	-1.3211	0.08487	1	1	0.277	0.138	0.241	1	0.521
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	147	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	-0.29771	-1.3207	0.04478	1	1	0.231	0.16	0.197	1	0.504
GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_DN	-0.29363	-1.3171	0.06308	1	1	0.194	0.117	0.173	1	0.515
GSE17721_CTRL_VS_PAM3CSK4_1H_BMDM_UP	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_1H_BMDM_UP	-0.2945	-1.3154	0.116	1	1	0.331	0.237	0.256	1	0.511
GSE360_CTRL_VS_L_DONOVANI_DC_DN	144	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_L_DONOVANI_DC_DN	-0.33606	-1.315	0.09785	1	1	0.319	0.171	0.268	0.99502	0.497
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_UP	125	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_UP	-0.32689	-1.3134	0.08785	1	1	0.4	0.244	0.305	0.98212	0.49
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN	-0.33789	-1.3129	0.1111	1	1	0.265	0.136	0.232	0.96288	0.479
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	-0.31441	-1.3086	0.09405	1	1	0.275	0.173	0.23	0.97288	0.485
GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDM_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDM_DN	-0.26527	-1.3028	0.07677	1	1	0.149	0.0953	0.137	1	0.507
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_DN	-0.27821	-1.3027	0.06654	1	1	0.31	0.234	0.24	0.99572	0.498
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	58	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	-0.34341	-1.302	0.06332	1	1	0.241	0.13	0.211	0.98028	0.488
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP	-0.36703	-1.3016	0.1622	1	1	0.315	0.162	0.267	0.96532	0.479
GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	130	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.30986	-1.3008	0.1172	1	1	0.408	0.284	0.295	0.95247	0.474
GSE25087_TREG_VS_TCONV_ADULT_UP	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE25087_TREG_VS_TCONV_ADULT_UP	-0.29342	-1.3007	0.06488	1	1	0.205	0.115	0.184	0.93736	0.467
GSE3982_MAC_VS_BCELL_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_BCELL_UP	-0.29814	-1.2993	0.06114	1	1	0.216	0.143	0.187	0.92566	0.467
GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	-0.25047	-1.2988	0.03633	1	1	0.313	0.248	0.239	0.91421	0.461
GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDM_UP	136	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDM_UP	-0.26697	-1.2982	0.03042	1	1	0.272	0.193	0.222	0.90135	0.451
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	-0.28276	-1.2966	0.07514	1	1	0.351	0.239	0.271	0.89161	0.447
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN	-0.33151	-1.2954	0.1252	1	1	0.283	0.175	0.237	0.89176	0.445
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP	-0.28143	-1.2927	0.08087	1	1	0.255	0.2	0.206	0.89791	0.449
GSE360_CTRL_VS_T_GONDII_MAC_DN	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_T_GONDII_MAC_DN	-0.30007	-1.2917	0.08984	1	1	0.247	0.165	0.209	0.88337	0.442
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	-0.278	-1.2892	0.07143	1	1	0.326	0.226	0.256	0.88381	0.445
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	143	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	-0.29897	-1.2884	0.09506	1	1	0.21	0.11	0.189	0.87715	0.439
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	183	http://www.broadinstitute.org/gsea/msigdb/cards/GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	-0.25183	-1.2877	0.05416	1	1	0.306	0.22	0.242	0.8679	0.434
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP	181	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP	-0.32409	-1.2842	0.1243	1	1	0.298	0.207	0.24	0.87916	0.441
GSE22886_TH1_VS_TH2_12H_ACT_DN	132	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_TH1_VS_TH2_12H_ACT_DN	-0.30222	-1.281	0.08534	1	1	0.197	0.086	0.182	0.8914	0.449
GSE360_DC_VS_MAC_L_DONOVANI_UP	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_DC_VS_MAC_L_DONOVANI_UP	-0.29286	-1.2806	0.1078	1	1	0.312	0.186	0.258	0.88037	0.441
GSE29618_BCELL_VS_MDC_UP	141	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_BCELL_VS_MDC_UP	-0.30244	-1.2795	0.1126	1	1	0.241	0.155	0.206	0.87755	0.44
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_DN	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_DN	-0.26944	-1.2788	0.0496	1	1	0.353	0.237	0.272	0.87035	0.434
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-0.25658	-1.2783	0.06604	1	1	0.382	0.302	0.27	0.8643	0.427
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	130	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	-0.2686	-1.2764	0.03019	1	1	0.185	0.111	0.166	0.86493	0.423
GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_UP	-0.27876	-1.2752	0.07663	1	1	0.2	0.13	0.176	0.86215	0.419
GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP	182	http://www.broadinstitute.org/gsea/msigdb/cards/GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP	-0.27541	-1.2746	0.09452	1	1	0.225	0.152	0.194	0.85118	0.415
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN	-0.33908	-1.2745	0.1442	1	1	0.316	0.191	0.259	0.84016	0.412
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	-0.27186	-1.2738	0.09375	1	1	0.292	0.223	0.23	0.82885	0.408
GSE360_CTRL_VS_T_GONDII_DC_DN	144	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_T_GONDII_DC_DN	-0.34046	-1.273	0.1372	1	1	0.312	0.167	0.263	0.8312	0.403
GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN	-0.3154	-1.271	0.125	1	1	0.293	0.176	0.245	0.82938	0.407
GSE27786_LIN_NEG_VS_CD4_TCELL_DN	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LIN_NEG_VS_CD4_TCELL_DN	-0.27893	-1.27	0.1155	1	1	0.309	0.203	0.25	0.8326	0.403
GSE17721_CTRL_VS_CPG_6H_BMDM_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_CPG_6H_BMDM_UP	-0.28141	-1.2671	0.08762	1	1	0.246	0.157	0.21	0.83441	0.406
GSE339_CD8POS_VS_CD4CD8DN_DC_UP	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_CD8POS_VS_CD4CD8DN_DC_UP	-0.28602	-1.2667	0.1197	1	1	0.213	0.123	0.189	0.82328	0.402
GSE3982_MAC_VS_TH2_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_TH2_UP	-0.28279	-1.2654	0.09444	1	1	0.227	0.13	0.2	0.82151	0.404
GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_DN	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_DN	-0.29012	-1.2613	0.1323	1	1	0.325	0.213	0.259	0.83551	0.412
GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDM_DN	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_PAM3CSK4_2H_BMDM_DN	-0.30247	-1.2576	0.1137	1	1	0.305	0.181	0.253	0.85548	0.418
GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_DN	-0.32669	-1.2574	0.1546	1	1	0.309	0.188	0.254	0.84465	0.411
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP	104	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP	-0.31572	-1.2569	0.1224	1	1	0.327	0.196	0.265	0.83638	0.409
GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDM_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDM_DN	-0.2441	-1.2542	0.08098	1	1	0.264	0.201	0.214	0.84703	0.413
GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP	-0.25579	-1.253	0.07648	1	1	0.282	0.225	0.221	0.84327	0.418
GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN	136	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN	-0.29267	-1.2528	0.0521	1	1	0.191	0.114	0.171	0.83661	0.407
GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_DN	-0.25054	-1.2517	0.08534	1	1	0.393	0.305	0.277	0.83258	0.409
GSE24142_ADULT_VS_FETAL_DN2_THYMOCYTE_DN	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24142_ADULT_VS_FETAL_DN2_THYMOCYTE_DN	-0.28928	-1.2515	0.1295	1	1	0.268	0.191	0.219	0.82753	0.403
GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_UP	154	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_UP	-0.30751	-1.2514	0.1453	1	1	0.253	0.134	0.222	0.8179	0.397
GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_DN	-0.30453	-1.2509	0.1456	1	1	0.272	0.173	0.228	0.8119	0.395
GSE13229_IMM_VS_INTMATURE_NKCELL_UP	119	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13229_IMM_VS_INTMATURE_NKCELL_UP	-0.31964	-1.2505	0.1142	1	1	0.286	0.159	0.242	0.80405	0.393
GSE29618_BCELL_VS_MONOCYTE_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_BCELL_VS_MONOCYTE_DN	-0.31226	-1.2498	0.1638	1	1	0.233	0.106	0.212	0.80284	0.389
GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_UP	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_UP	-0.27031	-1.248	0.08462	1	1	0.173	0.111	0.156	0.80481	0.39
GSE39820_CTRL_VS_TGFBETA1_IL6_IL23A_CD4_TCELL_UP	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE39820_CTRL_VS_TGFBETA1_IL6_IL23A_CD4_TCELL_UP	-0.30368	-1.2475	0.1781	1	1	0.228	0.153	0.196	0.80202	0.387
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	-0.26737	-1.2471	0.08366	0.99956	1	0.283	0.202	0.229	0.79473	0.384
GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26669_CTRL_VS_COSTIM_BLOCK_MLR_CD4_TCELL_DN	-0.26467	-1.2446	0.05346	1	1	0.27	0.202	0.218	0.8002	0.388
GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_UP	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_UP	-0.24675	-1.2441	0.08224	0.99989	1	0.212	0.155	0.182	0.79523	0.385
KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP	-0.26054	-1.2436	0.098	0.99289	1	0.22	0.157	0.188	0.79685	0.381
GSE22886_TH1_VS_TH2_48H_ACT_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_TH1_VS_TH2_48H_ACT_DN	-0.27112	-1.2432	0.1107	0.98577	1	0.367	0.257	0.276	0.7893	0.379
GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDM_DN	174	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDM_DN	-0.24778	-1.242	0.06439	0.98323	1	0.224	0.188	0.185	0.78771	0.379
