GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE2706_R848_VS_LPS_8H_STIM_DC_UP	82	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2706_R848_VS_LPS_8H_STIM_DC_UP	0.45937	1.4736	0.07097	1	0.932	0.378	0.215	0.299	0.65542	0.355
GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_UP	108	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_UP	0.38385	1.4735	0.02083	1	0.932	0.25	0.131	0.219	0.6008	0.33
GSE30083_SP2_VS_SP4_THYMOCYTE_UP	139	http://www.broadinstitute.org/gsea/msigdb/cards/GSE30083_SP2_VS_SP4_THYMOCYTE_UP	0.36672	1.4733	0.02376	1	0.932	0.288	0.184	0.237	0.5577	0.312
GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP	71	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP	0.38381	1.4731	0.01961	1	0.932	0.296	0.121	0.261	0.51787	0.298
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN	123	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN	0.32387	1.4703	0.004608	1	0.938	0.317	0.226	0.248	0.51028	0.289
GSE20366_TREG_VS_TCONV_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_TREG_VS_TCONV_DN	0.35077	1.4696	0.01271	1	0.938	0.386	0.22	0.304	0.48049	0.274
GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP	129	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_STIM_VS_STIM_AND_IFNAB_72H_CD8_T_CELL_UP	0.36725	1.4663	0.01464	0.98798	0.941	0.279	0.163	0.236	0.47697	0.266
GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_WT_VS_TLR4_KO_24H_OZONE_LUNG_UP	0.33781	1.4537	0.02966	1	0.955	0.327	0.212	0.261	0.51806	0.288
GSE27786_BCELL_VS_ERYTHROBLAST_DN	120	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_ERYTHROBLAST_DN	0.35172	1.4535	0.02484	0.99665	0.955	0.3	0.192	0.245	0.49406	0.281
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP	125	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP	0.34903	1.451	0.01042	0.96968	0.956	0.248	0.163	0.21	0.48622	0.275
GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	0.30034	1.4507	0.004149	0.92586	0.958	0.258	0.204	0.208	0.46492	0.261
GSE15659_RESTING_VS_ACTIVATED_TREG_UP	101	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_RESTING_VS_ACTIVATED_TREG_UP	0.36281	1.4494	0.0181	0.8938	0.96	0.238	0.133	0.208	0.4476	0.249
GSE22886_CTRL_VS_LPS_24H_DC_UP	187	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_CTRL_VS_LPS_24H_DC_UP	0.29571	1.4476	0.00616	0.86913	0.962	0.332	0.272	0.245	0.44219	0.24
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE30083_SP1_VS_SP4_THYMOCYTE_UP	0.3665	1.4453	0.01247	0.85064	0.965	0.319	0.223	0.251	0.43238	0.235
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_DN	106	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_DN	0.38847	1.437	0.02649	0.88081	0.97	0.358	0.217	0.283	0.46806	0.253
GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_DN	124	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_DN	0.35629	1.4293	0.03347	0.90302	0.977	0.379	0.251	0.287	0.49069	0.263
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP	65	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP	0.40984	1.4241	0.04681	0.91042	0.98	0.338	0.17	0.282	0.5123	0.265
GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_DN	122	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_DN	0.31059	1.4197	0.006494	0.91064	0.98	0.189	0.112	0.169	0.51822	0.268
GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP	0.32788	1.4106	0.03036	0.95586	0.985	0.325	0.244	0.249	0.56397	0.282
GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_DN	144	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_DN	0.32933	1.4102	0.02846	0.92744	0.985	0.181	0.104	0.164	0.54517	0.274
GSE7460_FOXP3_MUT_VS_HET_ACT_TCONV_UP	137	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_FOXP3_MUT_VS_HET_ACT_TCONV_UP	0.35006	1.4079	0.02505	0.9152	0.985	0.241	0.162	0.204	0.54058	0.273
GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP	159	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_DONOVANI_VS_L_MAJOR_MAC_UP	0.29805	1.4063	0.02316	0.89834	0.986	0.314	0.261	0.235	0.53412	0.269
GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	119	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26495_PD1HIGH_VS_PD1LOW_CD8_TCELL_UP	0.31778	1.3985	0.008639	0.93199	0.987	0.286	0.168	0.24	0.55347	0.277
GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP	90	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_UP	0.34957	1.3956	0.04516	0.92518	0.987	0.322	0.191	0.263	0.5483	0.278
GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_DN	112	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_DN	0.3944	1.3885	0.1275	0.95464	0.988	0.402	0.222	0.315	0.58383	0.293
GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP	143	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_CENT_MEMORY_CD4_TCELL_VS_NKCELL_UP	0.32025	1.3762	0.04054	1	0.994	0.315	0.239	0.242	0.647	0.332
GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	0.28901	1.3657	0.03478	1	0.997	0.268	0.207	0.215	0.69615	0.362
GSE13306_TREG_VS_TCONV_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13306_TREG_VS_TCONV_DN	0.29415	1.3656	0.02119	1	0.997	0.242	0.223	0.19	0.67821	0.348
GSE17721_CTRL_VS_LPS_2H_BMDM_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_LPS_2H_BMDM_DN	0.3073	1.3653	0.04301	1	0.997	0.209	0.143	0.181	0.66286	0.343
GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_DN	127	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_DN	0.27359	1.3598	0.02772	1	0.997	0.283	0.229	0.221	0.6861	0.346
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP	147	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MDC_UP	0.2948	1.3509	0.04018	1	0.997	0.218	0.149	0.187	0.73176	0.373
GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDM_UP	143	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDM_UP	0.30351	1.3496	0.02772	1	0.997	0.315	0.253	0.238	0.71922	0.372
GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_DN	0.32128	1.3493	0.07098	1	0.997	0.293	0.206	0.236	0.70249	0.362
GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_UP	0.28445	1.3422	0.03397	1	0.999	0.296	0.205	0.238	0.74909	0.385
GSE15659_NAIVE_CD4_TCELL_VS_RESTING_TREG_UP	131	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_NAIVE_CD4_TCELL_VS_RESTING_TREG_UP	0.31502	1.3407	0.04792	1	0.999	0.389	0.275	0.285	0.74702	0.378
GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_TCELL_VS_MONOCYTE_UP	0.30107	1.3405	0.02553	1	0.999	0.309	0.243	0.236	0.7318	0.364
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP	0.31602	1.34	0.04656	1	0.999	0.219	0.156	0.187	0.72016	0.359
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_DN	134	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_DN	0.34667	1.3391	0.08917	1	0.999	0.276	0.207	0.221	0.71293	0.356
GSE25087_FETAL_VS_ADULT_TCONV_UP	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE25087_FETAL_VS_ADULT_TCONV_UP	0.29525	1.3385	0.06458	1	0.999	0.366	0.268	0.271	0.69928	0.349
GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_DN	136	http://www.broadinstitute.org/gsea/msigdb/cards/GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_DN	0.28981	1.3363	0.01923	1	0.999	0.191	0.147	0.165	0.69704	0.347
GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	128	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_CTRL_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.33846	1.3362	0.05964	1	0.999	0.305	0.191	0.249	0.68349	0.333
GSE339_CD4POS_VS_CD8POS_DC_UP	166	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_CD4POS_VS_CD8POS_DC_UP	0.29215	1.3355	0.08367	0.99562	0.999	0.187	0.121	0.166	0.68043	0.327
GSE15659_NAIVE_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_UP	125	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_NAIVE_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_UP	0.31635	1.3351	0.04989	0.98064	0.999	0.232	0.182	0.192	0.67026	0.32
GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_DN	184	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_DN	0.29004	1.3347	0.06841	0.96552	0.999	0.332	0.267	0.247	0.65921	0.313
GSE27786_CD8_TCELL_VS_NKCELL_UP	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_CD8_TCELL_VS_NKCELL_UP	0.27382	1.3338	0.03486	0.95502	0.999	0.232	0.199	0.188	0.65019	0.309
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP	0.35139	1.3327	0.1213	0.94784	0.999	0.398	0.245	0.304	0.65051	0.305
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_DN	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_DN	0.26498	1.3321	0.008989	0.93506	0.999	0.183	0.15	0.157	0.65023	0.304
GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_BCELL_VS_EFF_MEMORY_CD4_TCELL_UP	0.29291	1.3315	0.04646	0.92373	0.999	0.21	0.127	0.185	0.63901	0.298
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_DN	136	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_DN	0.30319	1.33	0.05044	0.91797	0.999	0.221	0.167	0.186	0.64124	0.297
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP	0.30893	1.3277	0.0597	0.91996	0.999	0.262	0.217	0.207	0.64297	0.3
GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_UP	127	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_UP	0.34482	1.326	0.08421	0.91728	0.999	0.26	0.149	0.223	0.64619	0.299
GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_DN	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_DN	0.27483	1.3246	0.03587	0.91226	0.999	0.245	0.194	0.2	0.6476	0.297
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	116	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	0.32072	1.3224	0.04008	0.91357	0.999	0.31	0.227	0.242	0.6415	0.297
GSE1432_6H_VS_24H_IFNG_MICROGLIA_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1432_6H_VS_24H_IFNG_MICROGLIA_DN	0.30067	1.322	0.08135	0.90235	0.999	0.193	0.145	0.167	0.63614	0.293
GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN	183	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN	0.30141	1.32	0.08917	0.90212	0.999	0.284	0.178	0.237	0.6368	0.292
GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP	0.2749	1.3177	0.0268	0.90375	1	0.268	0.224	0.21	0.64228	0.295
GSE30083_SP2_VS_SP3_THYMOCYTE_DN	140	http://www.broadinstitute.org/gsea/msigdb/cards/GSE30083_SP2_VS_SP3_THYMOCYTE_DN	0.32173	1.3166	0.07223	0.89775	1	0.157	0.0659	0.148	0.64103	0.293
GSE7852_TREG_VS_TCONV_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7852_TREG_VS_TCONV_DN	0.30149	1.3127	0.07495	0.91211	1	0.225	0.148	0.194	0.65359	0.3
GSE17721_POLYIC_VS_GARDIQUIMOD_1H_BMDM_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_GARDIQUIMOD_1H_BMDM_DN	0.28268	1.3114	0.05979	0.90886	1	0.202	0.155	0.173	0.65416	0.303
GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_UP	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_UP	0.31988	1.3085	0.086	0.91786	1	0.212	0.131	0.187	0.6571	0.306
GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	101	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	0.31811	1.3083	0.06237	0.90591	1	0.238	0.14	0.206	0.64857	0.303
GSE7852_THYMUS_VS_FAT_TREG_DN	165	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7852_THYMUS_VS_FAT_TREG_DN	0.30513	1.3049	0.06809	0.9173	1	0.236	0.129	0.209	0.66211	0.308
GSE36392_TYPE_2_MYELOID_VS_EOSINOPHIL_IL25_TREATED_LUNG_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36392_TYPE_2_MYELOID_VS_EOSINOPHIL_IL25_TREATED_LUNG_UP	0.28579	1.3048	0.03549	0.90512	1	0.153	0.096	0.14	0.65304	0.304
GSE15767_MED_VS_SCS_MAC_LN_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15767_MED_VS_SCS_MAC_LN_UP	0.31758	1.3047	0.1132	0.89418	1	0.288	0.187	0.237	0.64422	0.299
GSE20715_0H_VS_6H_OZONE_LUNG_UP	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_0H_VS_6H_OZONE_LUNG_UP	0.29903	1.304	0.06852	0.88699	1	0.279	0.229	0.218	0.64172	0.295
GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_UP	91	http://www.broadinstitute.org/gsea/msigdb/cards/GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_UP	0.31005	1.3038	0.05394	0.87627	1	0.308	0.227	0.239	0.63587	0.287
GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP	112	http://www.broadinstitute.org/gsea/msigdb/cards/GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP	0.34705	1.3034	0.08602	0.8677	1	0.241	0.106	0.217	0.62932	0.285
GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_UP	154	http://www.broadinstitute.org/gsea/msigdb/cards/GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_UP	0.27982	1.3022	0.08502	0.86354	1	0.286	0.24	0.22	0.62274	0.279
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DN	136	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_TREG_VS_NAIVE_CD4_TCELL_DN	0.33876	1.2976	0.09476	0.88405	1	0.309	0.196	0.251	0.64277	0.295
GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_DN	0.32174	1.2929	0.117	0.90664	1	0.336	0.23	0.261	0.6688	0.301
GSE17721_CTRL_VS_POLYIC_2H_BMDM_UP	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_2H_BMDM_UP	0.26764	1.2911	0.06535	0.90779	1	0.258	0.215	0.205	0.66723	0.301
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	0.25704	1.2907	0.08998	0.8995	1	0.134	0.108	0.121	0.66099	0.3
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP	0.2996	1.2906	0.08696	0.88874	1	0.258	0.183	0.213	0.65302	0.298
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_0.5H_CD4_TCELL_UP	89	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_0.5H_CD4_TCELL_UP	0.35572	1.29	0.1034	0.88263	1	0.236	0.147	0.203	0.64934	0.298
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_DN	0.28093	1.2897	0.05285	0.87403	1	0.27	0.218	0.213	0.6417	0.293
GSE17721_ALL_VS_24H_PAM3CSK4_BMDM_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_ALL_VS_24H_PAM3CSK4_BMDM_DN	0.31378	1.2885	0.1017	0.87247	1	0.234	0.177	0.195	0.63824	0.288
GSE7852_TREG_VS_TCONV_LN_DN	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7852_TREG_VS_TCONV_LN_DN	0.31379	1.2882	0.1118	0.86402	1	0.289	0.206	0.232	0.63091	0.286
GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE37416_0H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP	0.28051	1.2866	0.1242	0.86476	1	0.234	0.195	0.191	0.64527	0.287
GSE17721_LPS_VS_PAM3CSK4_1H_BMDM_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_PAM3CSK4_1H_BMDM_DN	0.2851	1.2837	0.07006	0.87368	1	0.197	0.146	0.171	0.65117	0.291
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	0.26709	1.2836	0.03681	0.8647	1	0.283	0.217	0.225	0.64394	0.286
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP	183	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP	0.3347	1.2829	0.1808	0.86051	1	0.383	0.283	0.278	0.64057	0.283
GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_DN	149	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_DN	0.27748	1.2826	0.02673	0.85317	1	0.154	0.108	0.139	0.64532	0.279
GSE13493_DP_VS_CD8POS_THYMOCYTE_DN	148	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13493_DP_VS_CD8POS_THYMOCYTE_DN	0.29672	1.2821	0.08465	0.8469	1	0.243	0.164	0.206	0.64001	0.273
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_DN	142	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_DN	0.25764	1.2817	0.05287	0.84058	1	0.169	0.131	0.149	0.63451	0.27
GSE17721_LPS_VS_GARDIQUIMOD_24H_BMDM_DN	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_GARDIQUIMOD_24H_BMDM_DN	0.29725	1.2812	0.08943	0.83473	1	0.296	0.24	0.228	0.62783	0.267
GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP	108	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP	0.30105	1.281	0.04661	0.82778	1	0.231	0.163	0.195	0.62168	0.262
